INSERT INTO habitacion (num_hab, nombre_hot, tipo_hab) VALUES
('100', 'Canyes Blanques', 'individual'),
('101', 'Canyes Blanques', 'doble'),
('102', 'Canyes Blanques', 'individual'),
('103', 'Canyes Blanques', 'doble'),
('104', 'Canyes Blanques', 'doble'),
('105', 'Canyes Blanques', 'individual'),
('106', 'Canyes Blanques', 'doble'),
('107', 'Canyes Blanques', 'individual'),
('108', 'Canyes Blanques', 'doble'),
('109', 'Canyes Blanques', 'doble'),
('110', 'Canyes Blanques', 'individual'),
('111', 'Canyes Blanques', 'individual'),
('112', 'Canyes Blanques', 'doble'),
('113', 'Canyes Blanques', 'individual'),
('114', 'Canyes Blanques', 'doble'),
('115', 'Canyes Blanques', 'individual'),
('116', 'Canyes Blanques', 'doble'),
('117', 'Canyes Blanques', 'individual'),
('118', 'Canyes Blanques', 'individual'),
('119', 'Canyes Blanques', 'individual'),
('120', 'Canyes Blanques', 'doble'),
('121', 'Canyes Blanques', 'individual'),
('122', 'Canyes Blanques', 'individual'),
('123', 'Canyes Blanques', 'doble'),
('124', 'Canyes Blanques', 'individual'),
('125', 'Canyes Blanques', 'doble'),
('126', 'Canyes Blanques', 'doble'),
('127', 'Canyes Blanques', 'individual'),
('128', 'Canyes Blanques', 'doble'),
('129', 'Canyes Blanques', 'doble'),
('130', 'Canyes Blanques', 'doble'),
('131', 'Canyes Blanques', 'individual'),
('132', 'Canyes Blanques', 'doble'),
('133', 'Canyes Blanques', 'doble'),
('134', 'Canyes Blanques', 'individual'),
('135', 'Canyes Blanques', 'individual'),
('136', 'Canyes Blanques', 'individual'),
('137', 'Canyes Blanques', 'doble'),
('138', 'Canyes Blanques', 'individual'),
('139', 'Canyes Blanques', 'doble'),
('140', 'Canyes Blanques', 'individual'),
('141', 'Canyes Blanques', 'doble'),
('142', 'Canyes Blanques', 'individual'),
('143', 'Canyes Blanques', 'individual'),
('144', 'Canyes Blanques', 'doble'),
('145', 'Canyes Blanques', 'individual'),
('146', 'Canyes Blanques', 'doble'),
('147', 'Canyes Blanques', 'doble'),
('148', 'Canyes Blanques', 'doble'),
('149', 'Canyes Blanques', 'individual'),
('100', 'Condesa', 'individual'),
('101', 'Condesa', 'individual'),
('102', 'Condesa', 'individual'),
('103', 'Condesa', 'individual'),
('104', 'Condesa', 'individual'),
('105', 'Condesa', 'individual'),
('106', 'Condesa', 'doble'),
('107', 'Condesa', 'individual'),
('108', 'Condesa', 'individual'),
('109', 'Condesa', 'doble'),
('110', 'Condesa', 'individual'),
('111', 'Condesa', 'doble'),
('112', 'Condesa', 'individual'),
('113', 'Condesa', 'individual'),
('114', 'Condesa', 'doble'),
('115', 'Condesa', 'doble'),
('116', 'Condesa', 'doble'),
('117', 'Condesa', 'doble'),
('118', 'Condesa', 'doble'),
('119', 'Condesa', 'individual'),
('120', 'Condesa', 'doble'),
('121', 'Condesa', 'individual'),
('122', 'Condesa', 'individual'),
('123', 'Condesa', 'individual'),
('124', 'Condesa', 'individual'),
('125', 'Condesa', 'individual'),
('126', 'Condesa', 'individual'),
('127', 'Condesa', 'individual'),
('128', 'Condesa', 'doble'),
('129', 'Condesa', 'doble'),
('130', 'Condesa', 'individual'),
('131', 'Condesa', 'doble'),
('132', 'Condesa', 'individual'),
('133', 'Condesa', 'individual'),
('134', 'Condesa', 'individual'),
('135', 'Condesa', 'individual'),
('136', 'Condesa', 'doble'),
('137', 'Condesa', 'doble'),
('138', 'Condesa', 'doble'),
('139', 'Condesa', 'doble'),
('140', 'Condesa', 'individual'),
('141', 'Condesa', 'doble'),
('142', 'Condesa', 'doble'),
('143', 'Condesa', 'doble'),
('144', 'Condesa', 'individual'),
('145', 'Condesa', 'individual'),
('146', 'Condesa', 'individual'),
('147', 'Condesa', 'doble'),
('148', 'Condesa', 'individual'),
('149', 'Condesa', 'doble'),
('100', 'Citric Soller', 'doble'),
('101', 'Citric Soller', 'doble'),
('102', 'Citric Soller', 'individual'),
('103', 'Citric Soller', 'doble'),
('104', 'Citric Soller', 'doble'),
('105', 'Citric Soller', 'individual'),
('106', 'Citric Soller', 'doble'),
('107', 'Citric Soller', 'doble'),
('108', 'Citric Soller', 'doble'),
('109', 'Citric Soller', 'doble'),
('110', 'Citric Soller', 'individual'),
